Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,109.6292,-76.6318,180,top
C2,1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,109.6292,-79.4618,180,top
C3,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,38.4152,-80.1878,180,top
C4,1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,38.4632,-77.1398,180,top
C5,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,123.2662,-26.2128,90,top
C6,1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,125.6792,-26.2128,90,top
C7,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,53.0352,-30.0228,90,top
C8,1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,55.8652,-30.0228,90,top
C9,22n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,68.0212,-72.2558,-90,top
C10,0.1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,71.1172,-64.7818,180,top
C11,10u,C_1210_3225Metric,71.0692,-60.8918,-90,top
C12,0.1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,60.8612,-60.9718,180,top
C13,10u,C_1210_3225Metric,60.8612,-64.7818,-90,top
C14,0.1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,71.6482,-47.9298,180,top
C15,10u,C_1210_3225Metric,71.6482,-44.2938,-90,top
C16,0.1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,62.9642,-45.1358,180,top
C17,10u,C_1210_3225Metric,62.6872,-49.6278,-90,top
C18,22n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,141.1732,-72.6258,-90,top
C19,0.1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,144.7292,-64.1858,180,top
C20,10u,C_1210_3225Metric,144.7292,-60.2018,-90,top
C21,0.1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,134.0132,-60.6298,180,top
C22,10u,C_1210_3225Metric,134.0612,-64.4398,-90,top
C23,0.1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,144.1092,-47.1678,180,top
C24,10u,C_1210_3225Metric,144.1092,-43.0238,-90,top
C25,0.1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,134.9652,-44.6278,180,top
C26,10u,C_1210_3225Metric,134.9652,-48.9458,-90,top
C27,10uF,C_1210_3225Metric,55.8292,-64.7838,-90,top
C28,10uF,C_1210_3225Metric,41.339676,-65.1118,90,top
C29,0.1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,46.4312,-63.8838,-90,top
C30,10u,C_1210_3225Metric,50.4152,-63.9318,0,top
C31,0.1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,52.0192,-53.5658,-90,top
C32,10u,C_1210_3225Metric,48.2092,-53.5178,0,top
C33,0.1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,52.2732,-46.6598,-90,top
C34,10u,C_1210_3225Metric,55.3212,-46.1518,-90,top
C35,0.1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,45.1612,-45.4378,-90,top
C36,10u,C_1210_3225Metric,41.2712,-45.3898,180,top
