"D1","Diodes:DIOAD1068W53L380D172","1N914"
"F1","Fuses:FUSC1608X56N","JB06F5001R"
"IC6,IC7,IC8,IC15,IC37","LDOs:TO254P470X1028X1955-3P","LM1117T-ADJ/NOPB"
"IC23,IC24,IC25","Line Drivers:SOIC127P600X175-14N","SN74LV125ADR"
"IC39,IC40,IC41,IC42,IC43,IC44,IC45,IC46,IC47,IC48,IC49","LDOs:TO254P470X1028X1955-3P","LM1117T-5.0/NOPB"
"IC50,IC51,IC52","LDOs:TO254P470X1028X1955-3P","LM1117T-3.3/NOPB"
"J1,J2,J3,J4,J5,J6,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26,J27,J28,J29,J30,J31,J32,J53,J54,J55,J56,J58,J59,J60,J61,J63,J64,J65,J66,J68,J69,J70,J71,J75,J76,J78,J79,J80,J82,J83,J84,J85,J86,J87,J88,J89,J90,J91,J92,J93,J94,J95,J96,J97,J98,J99,J100,J101,J103,J104,J105,J106,J107,J108,J109,J110,J111,J112,J113,J114,J115,J116,J117,J118,J119,J120,J121","Headers:G800NA306018EU","G800NA306018EU"
"J33,J34","Midi Port:1134","1134"
"J35,J37,J44,J45,J46,J47,J48,J49,J50","Headers:HDRV4W67P0X254_1X4_1016X241X858P","69190-404HLF"
"J38,J39,J40,J41,J73,J77","Headers:6404525","640452-5"
"J42","Headers:M20-9990946","M20-9990946"
"J43,U1,U2,U3,Y1","Clocks:XTAL_ACO-24.576MHZ-EK,DAC:SOP65P640X120-24N,Headers:CON14_1X14_TU_SSQ",""
"J51,J52","Headers:HDRV24W64P0X254_1X24_6096X248X724P","MTLW-124-07-F-S-225"
"J57,J62,J67,J72","Input/Output Ports:ACJC9AHBULK","ACJC9AH BULK"
"S4","Buttons and Switches:TS026670BK100SCRD","TS02-66-70-BK-100-SCR-D"
