Ref,Val,Package,PosX,PosY,Rot,Side,
C119,22n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,114.7572,-135.8392,180,bottom,x
C120,22n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,143.1798,-127.1524,0,bottom,x
C123,4.7u,CAPC2012X145N,146.9644,-106.4768,90,bottom,x
C127,0.1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,158.1404,-109.522,-90,bottom,x
C132,0.1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,121.9708,-106.1212,180,bottom,x
C142,0.1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,56.0324,-133.9822,-90,bottom,x
C143,33u,C_1206_3216Metric,53.848,-133.449,-90,bottom,x
C146,0.1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,54.1782,-139.9032,90,bottom,x
C147,33u,C_1206_3216Metric,56.8706,-139.5476,90,bottom,x
C150,0.1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,175.26,-134.3406,-90,bottom,x
C151,33u,C_1206_3216Metric,172.6946,-133.7582,-90,bottom,x
C154,0.1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,173.736,-138.7884,90,bottom,x
C155,33u,C_1206_3216Metric,176.1236,-139.4232,90,bottom,x
C186,2.7n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,22.7398,-41.8338,0,bottom,x
C197,2.7n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,54.634,-41.576,0,bottom,x
C208,2.7n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,87.4082,-40.7162,0,bottom,x
C219,2.7n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,120.1127,-40.6108,0,bottom,x
R97,10k,R_1206_3216Metric,136.2456,-99.568,-90,bottom,
