Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10u,C_1210_3225Metric,108.0008,-172.4434,90,top
C2,10u,C_1210_3225Metric,108.7628,-177.3494,0,top
C3,10u,C_1210_3225Metric,231.1908,-168.6814,90,top
C4,10u,C_1210_3225Metric,232.8418,-173.5074,0,top
C5,10u,C_1210_3225Metric,52.3278,-165.9134,0,top
C6,10u,C_1210_3225Metric,46.4058,-174.2954,-90,top
C7,10u,C_1210_3225Metric,168.7068,-166.6964,90,top
C8,10u,C_1210_3225Metric,170.7388,-171.3484,0,top
C9,10u,R_1210_3225Metric,63.8302,-163.8046,-90,top
C10,100u,C_1210_3225Metric,63.8048,-181.6354,90,top
C11,100u,C_1210_3225Metric,57.3278,-172.8724,0,top
C12,10u,R_1210_3225Metric,188.8998,-166.0944,-90,top
C13,100u,C_1210_3225Metric,184.3278,-179.7304,90,top
C14,100u,C_1210_3225Metric,177.8508,-169.8244,-90,top
C15,10u,R_1210_3225Metric,8.6868,-162.3314,-90,top
C16,100u,C_1210_3225Metric,8.7122,-180.0334,90,top
C17,100u,C_1210_3225Metric,13.2588,-167.6184,-90,top
C18,330p,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,89.1679,-181.4564,0,top
C19,330p,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,72.4916,-183.0832,-90,top
C20,22p,CAPC2012X70N,88.7908,-173.0756,0,top
C21,22p,CAPC2012X70N,73.2402,-173.2026,0,top
C22,150p,C0805,88.2828,-166.8272,90,top
C23,150p,C0805,73.3696,-164.592,0,top
C24,0.1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,78.5556,-170.6372,180,top
C25,10u,C_1210_3225Metric,79.1172,-174.3964,180,top
C26,0.1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,82.776,-162.2552,180,top
C27,10u,C_1210_3225Metric,82.2668,-158.9024,180,top
C28,330p,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,33.9621,-181.9148,0,top
C29,330p,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,17.1704,-182.1473,-90,top
C30,22p,CAPC2012X70N,33.4784,-173.9392,0,top
C31,22p,CAPC2012X70N,17.4256,-172.8724,0,top
C32,150p,C0805,32.5026,-167.2226,90,top
C33,150p,C0805,17.4908,-164.8968,0,top
C34,0.1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,23.3708,-171.3484,180,top
C35,10u,C_1210_3225Metric,23.6728,-174.6556,180,top
C36,0.1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,27.3982,-162.21,180,top
C37,10u,C_1210_3225Metric,26.813,-159.3652,180,top
C38,10u,C_1210_3225Metric,73.3044,-156.464,-90,top
C39,1n,C1206,74.7776,-143.9164,0,top
C40,1n,C1206,83.8708,-145.8736,90,top
C41,10u,C_1210_3225Metric,78.8472,-155.3464,0,top
C42,0.1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,78.3364,-152.4254,0,top
C43,0.1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,97.8408,-150.947,-90,top
C44,10u,C_1210_3225Metric,101.1428,-151.6074,-90,top
C45,2.7n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,61.8236,-139.5984,90,top
C46,0.1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,87.9856,-151.892,-90,top
C47,0.1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,90.7496,-154.686,90,top
C48,10u,C_1210_3225Metric,94.7928,-154.8384,180,top
C49,10u,C_1210_3225Metric,17.324,-156.6672,-90,top
C50,1n,C1206,18.3896,-143.764,0,top
C51,1n,C1206,28.3972,-150.3172,90,top
C52,10u,C_1210_3225Metric,22.4028,-157.2044,-90,top
C53,0.1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,22.2544,-153.2128,0,top
C54,0.1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,41.91,-152.011,-90,top
C55,10u,C_1210_3225Metric,45.0088,-152.5726,-90,top
C56,2.7n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,46.0756,-140.8684,90,top
C57,0.1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,31.75,-152.9108,-90,top
C58,0.1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,34.7472,-155.3746,90,top
C59,10u,C_1210_3225Metric,38.989,-155.8036,180,top
C60,10u,R_1210_3225Metric,124.1298,-156.6964,-90,top
C61,100u,C_1210_3225Metric,119.5578,-171.0474,90,top
C62,100u,C_1210_3225Metric,113.2314,-162.4838,0,top
C63,330p,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,212.979,-182.0722,0,top
C64,330p,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,196.1566,-184.3473,-90,top
C65,22p,CAPC2012X70N,212.8294,-174.0298,0,top
C66,22p,CAPC2012X70N,193.8198,-175.174,0,top
C67,150p,C0805,212.1154,-167.5782,90,top
C68,150p,C0805,194.0126,-165.4204,0,top
C69,0.1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,201.749,-171.8564,180,top
C70,10u,C_1210_3225Metric,199.6948,-175.1584,0,top
C71,0.1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,205.6352,-162.7124,180,top
C72,10u,C_1210_3225Metric,205.051,-159.1564,180,top
C73,330p,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,149.1368,-181.7018,0,top
C74,330p,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,132.7268,-183.0226,-90,top
C75,22p,CAPC2012X70N,148.8828,-174.285,0,top
C76,22p,CAPC2012X70N,130.5412,-174.7422,0,top
C77,150p,C0805,148.07,-167.7174,90,top
C78,150p,C0805,130.7616,-166.6142,0,top
C79,0.1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,137.4556,-171.4754,180,top
C80,10u,C_1210_3225Metric,137.9608,-174.6504,180,top
C81,0.1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,141.6758,-163.2106,180,top
C82,10u,C_1210_3225Metric,141.1104,-160.1724,180,top
C83,10u,C_1210_3225Metric,192.6236,-158.4354,-90,top
C84,1n,C1206,194.1208,-145.6846,0,top
C85,1n,C1206,209.7432,-148.631,90,top
C86,10u,C_1210_3225Metric,200.6092,-158.2184,-90,top
C87,0.1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,201.9708,-154.0764,0,top
C88,0.1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,223.8248,-152.1946,-90,top
C89,10u,C_1210_3225Metric,227.3808,-152.8042,-90,top
C90,2.7n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,181.5592,-139.5972,90,top
C91,0.1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,213.5732,-152.8042,-90,top
C92,0.1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,216.5196,-156.0308,90,top
C93,10u,C_1210_3225Metric,220.6968,-155.98,180,top
C94,10u,C_1210_3225Metric,130.6456,-158.2918,-90,top
C95,1n,C1206,133.7712,-144.1704,0,top
C96,1n,C1206,144.514,-152.1122,90,top
C97,10u,C_1210_3225Metric,138.4388,-156.6366,0,top
C98,0.1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,137.8292,-153.8426,0,top
C99,0.1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,158.2928,-152.5524,-90,top
C100,10u,C_1210_3225Metric,161.8488,-153.1724,-90,top
C101,2.7n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,166.4088,-139.3854,90,top
C102,0.1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,147.9296,-153.2636,-90,top
C103,0.1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,151.1808,-155.8544,90,top
C104,10u,C_1210_3225Metric,155.067,-156.3116,180,top
C105,1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,272.2333,-152.1714,180,top
C106,1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,281.8423,-149.5044,0,top
C107,22n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,229.9462,-120.6754,0,top
C108,1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,272.4658,-158.1404,180,top
C109,22n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,229.2604,-127.1016,0,top
C110,22n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,229.108,-134.0104,180,top
C111,22n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,216.6112,-95.504,180,top
C112,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,226.9208,-32.0294,180,top
C113,10uF,C_1210_3225Metric,226.5776,-35.3314,0,top
C114,1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,282.2448,-157.2514,90,top
C116,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,161.7444,-63.5508,0,top
C117,22n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,129.1375,-88.0364,0,top
C118,22n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,103.0478,-90.1954,180,top
C121,2.2u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,150.2449,-121.3358,180,top
C122,2.2u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,123.2916,-116.9924,90,top
C124,0.1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,124.5616,-108.0008,180,top
C125,0.1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,133.8072,-91.5896,90,top
C126,0.1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,142.2654,-127.381,-90,top
C128,0.1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,195.1736,-45.4152,180,top
C129,1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,199.136,-48.4124,0,top
C130,10u,C_1210_3225Metric,199.5932,-51.4096,0,top
C131,0.1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,124.8664,-94.6951,90,top
C133,22n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,217.0052,-115.2652,0,top
C134,0.1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,126.6444,-117.0471,-90,top
C135,22n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,216.9036,-109.1692,0,top
C136,0.1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,156.3398,-105.2576,0,top
C137,22n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,216.7512,-102.7684,0,top
C138,0.1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,153.8478,-93.1164,90,top
C139,0.1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,153.7462,-119.1006,0,top
C140,0.1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,76.3016,-112.014,90,top
C141,10u,C_1210_3225Metric,81.6356,-112.1156,180,top
C144,0.1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,57.706,-144.0688,0,top
C145,33u,C_1206_3216Metric,57.0484,-146.304,180,top
C148,0.1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,51.7652,-144.0688,0,top
C149,33u,C_1206_3216Metric,52.324,-146.304,180,top
C152,0.1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,176.8884,-144.4244,0,top
C153,33u,C_1206_3216Metric,176.6062,-146.8628,180,top
C156,0.1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,171.1452,-144.4244,0,top
C157,33u,C_1206_3216Metric,171.6024,-146.939,180,top
C158,1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,48.6917,-69.2685,180,top
C159,10uF,C_1210_3225Metric,48.6437,-73.8632,-90,top
C160,1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,35.6588,-66.1416,0,top
C161,10uF,C_1210_3225Metric,47.8536,-63.5292,90,top
C162,10uF,C_1210_3225Metric,33.2956,-63.1444,180,top
C163,1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,48.6984,-67.0052,180,top
C164,1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,111.4524,-69.2912,180,top
C165,10uF,C_1210_3225Metric,111.5314,-72.8472,-90,top
C166,1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,111.5568,-66.802,180,top
C167,10uF,C_1210_3225Metric,111.4552,-62.3842,90,top
C168,10uF,C_1210_3225Metric,96.186,-63.1952,180,top
C169,1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,98.9584,-66.1416,0,top
C170,1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,177.9778,-44.4754,180,top
C171,10uF,C_1210_3225Metric,178.562,-47.5996,0,top
C172,1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,162.9156,-41.5036,0,top
C173,10uF,C_1210_3225Metric,179.6796,-39.5732,0,top
C174,10uF,C_1210_3225Metric,158.1404,-40.132,180,top
C175,1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,179.1716,-42.4688,180,top
C176,10u,C_1210_3225Metric,13.8176,-53.9888,90,top
C177,10u,C_1210_3225Metric,31.6216,-55.068,90,top
