"Reference","Footprint","Manufacturer_Part_Number"
"C1,C2,C3,C4,C5,C6,C7,C8,C9,C12,C15,C25,C27,C35,C37,C38,C41,C44,C48,C49,C52,C55,C59,C60,C70,C72,C80,C82,C83,C86,C89,C93,C94,C97,C100,C104,C113,C130,C141,C159,C161,C162,C165,C167,C168,C171,C173,C174,C176,C177,C183,C185,C187,C188,C194,C196,C198,C199,C205,C207,C209,C210,C216,C218,C220,C221,C222,C223,C231,C233,C235,C241,C255,C258,C259,C260,C262,C264,C266,C268,C270,C272,C274,C276,C278,C280,C282,C284,C286","Capacitor_SMD:C_1210_3225Metric,Resistor_SMD:R_1210_3225Metric","GRM32ER71J106KA12L"
"C10,C11,C13,C14,C16,C17,C61,C62,C256,C257,C261,C263,C265,C267,C269,C271,C273,C275,C277,C279,C281,C283,C285,C287","Capacitor_SMD:C_1210_3225Metric","MSASE32MAB5107MPNA01 "
"C18,C19,C28,C29,C63,C64,C73,C74","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","0805N331F500CT"
"C20,C21,C30,C31,C65,C66,C75,C76","22p Capacitor:CAPC2012X70N","VJ0805A220FXBPW1BC"
"C22,C23,C32,C33,C67,C68,C77,C78","150p Capacitor:C0805","C0805C151J5GACTU"
"C24,C26,C34,C36,C42,C43,C46,C47,C53,C54,C57,C58,C69,C71,C79,C81,C87,C88,C91,C92,C98,C99,C102,C103,C112,C116,C124,C125,C126,C127,C128,C131,C132,C134,C136,C138,C139,C140,C142,C144,C146,C148,C150,C152,C154,C156,C182,C184,C193,C195,C204,C206,C215,C217,C230,C232,C236,C237,C242,C243,C289","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","0805B104J500NT"
"C39,C40,C50,C51,C84,C85,C95,C96,C249,C253","1n Capacitor:C1206","C1206C102F1GACTU"
"C45,C56,C90,C101,C186,C197,C208,C219,C234","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","08053A272FAT2A"
"C105,C106,C108,C114,C129,C158,C160,C163,C164,C166,C169,C170,C172,C175","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","GCJ21BR71H105KA01L"
"C107,C109,C110,C111,C117,C118,C119,C120,C133,C135,C137","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","GCM21B5C1H223FA16L"
"C121,C122,C248,C252","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","GXT21BR71C225KE01L"
"C123","4.7u Capacitor:CAPC2012X145N","GCM21BM8EH475KE08L"
"C143,C145,C147,C149,C151,C153,C155,C157","Capacitor_SMD:C_1206_3216Metric"," C3216X5R1E336MT000E"
"C178,C180,C189,C191,C200,C202,C211,C213","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","AC0805JKNPO0BN472"
"C179,C181,C190,C192,C201,C203,C212,C214","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder"," GCM2165C2A222FA16D"
"C224,C225","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder"," GRM2165C1H332JA01D"
"C226,C227,C228,C229","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","CC0805JRNPO0BN681"
"C238,C239,C244,C245,C247,C250,C251,C254","Capacitor_SMD:C_1210_3225Metric_Pad1.33x2.70mm_HandSolder","MSASE32MSB5226MPNA01"
"C240","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","08051A750FAT2A"
"C246","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder"," 08051A750FAT2A"
"C288","47u Capacitor:EEE0JA152UAP","EEH-ZA1K470P"
"D1","Diodes:DIOAD1068W53L380D172","1N914"
"D2,D3","Diodes:SOD3716X135N","MBR0520-TP"
"F1","Fuses:FUSC1608X56N","JB06F5001R"
"IC1","Analog Switch ICs:SOP65P640X110-16N","MAX14757EUE+T"
"IC2,IC3,IC4,IC5,IC38","LDOs:TO254P470X1028X1955-3P","LM337T/NOPB"
"IC6,IC7,IC8,IC15,IC37","LDOs:TO254P470X1028X1955-3P","LM1117T-ADJ/NOPB"
"IC9,IC10,IC16,IC17,IC28,IC29,IC30,IC31,IC32","Op Amps:SOIC127P600X175-8N","OPA2210ID"
"IC11,IC13,IC18,IC20","Op Amps:SOP65P490X110-8N","THS4521IDGKR"
"IC12,IC14,IC19,IC21","Op Amps:SOP65P490X110-8N","OPA210IDGKR"
"IC22","MicroController:QFP50P2200X2200X160-144N","STM32H753ZIT6"
"IC23,IC24,IC25","Line Drivers:SOIC127P600X175-14N","SN74LV125ADR"
"IC26,IC27","ADC:SOP65P780X200-28N","PCM4202DBR"
"IC33,IC34","DC-DC Converters:SOT95P280X110-6N","TPS54302DDCT"
"IC35,IC36","DC-DC Converters:SOT95P280X145-5N","LM2611AMF/NOPB"
"IC39,IC40,IC41,IC42,IC43,IC44,IC45,IC46,IC47,IC48,IC49","LDOs:TO254P470X1028X1955-3P","LM1117T-5.0/NOPB"
"IC50,IC51,IC52","LDOs:TO254P470X1028X1955-3P","LM1117T-3.3/NOPB"
"J1,J2,J3,J4,J5,J6,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26,J27,J28,J29,J30,J31,J32,J36,J53,J54,J55,J56,J58,J59,J60,J61,J63,J64,J65,J66,J68,J69,J70,J71,J74,J75,J76,J78,J79,J80,J81,J82,J83,J84,J85,J86,J87,J88,J89,J90,J91,J92,J93,J94,J95,J96,J97,J98,J99,J100,J101,J102,J103,J104,J105,J106,J107,J108,J109,J110,J111,J112,J113,J114,J115,J116,J117,J118,J119,J120,J121,J122,J123,J124,J125,J126,J127,J128,J129,J130,J131,J132,J133,J134,J135,J136,J137,J138,J139,J140,J141,J142,J143,J144,J145,J146,J147,J148,J149,J150,J151,J152,J153,J154,J155,J156,J157,J158,J159,J160,J161,J162,J163,J164,J165,J166","Headers:G800NA306018EU","G800NA306018EU"
"J33,J34","Midi Port:1134","1134"
"J35,J37,J44,J45,J46,J47,J48,J49,J50","Headers:HDRV4W67P0X254_1X4_1016X241X858P","69190-404HLF"
"J38,J39,J40,J41,J73,J77","Headers:6404525","640452-5"
"J42","Headers:M20-9990946","M20-9990946"
"J43,U1,U2,U3,Y1","Clocks:XTAL_ACO-24.576MHZ-EK,DAC:SOP65P640X120-24N,Headers:CON14_1X14_TU_SSQ",""
"J51,J52","Headers:HDRV24W64P0X254_1X24_6096X248X724P","MTLW-124-07-F-S-225"
"J57,J62,J67,J72","Input/Output Ports:ACJC9AHBULK","ACJC9AH BULK"
"L1","Inductor_SMD:L_0805_2012Metric_Pad1.05x1.20mm_HandSolder","YWLD2012-100K"
"L2","Inductor_SMD:L_0805_2012Metric_Pad1.05x1.20mm_HandSolder","YWLD2012-100K "
"L3,L4,L5,L6","Inductor_SMD:L_0805_2012Metric_Pad1.05x1.20mm_HandSolder","CB2012T220K"
"PS1","DC-DC Converters:Ag7200","Ag7200"
"Q1","Opto Isolator:DIP762W60P254L1016H465Q8N","6N137"
"R1,R3,R5,R7,R10,R12,R14,R48,R184,R185","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","ERJ6ENF8450V"
"R2,R4,R6,R8,R186","Resistor_SMD:R_1210_3225Metric_Pad1.30x2.65mm_HandSolder"," RC1210FR-07121RL"
"R9,R11,R13,R47,R183","Resistor_SMD:R_1210_3225Metric_Pad1.30x2.65mm_HandSolder","RC1210FR-07121RL"
